ITEM_ID,OP_DATE,HOL_YN,CONFIG,PSS_ALL,D_3,PSS_SPML,ACTUAL_DEMAND
KE0901BC,2016-01-24,0,94,,31,2,59
KE0901BC,2016-01-25,0,94,,14,1,43
KE0901BC,2016-01-26,0,94,,10,0,25
KE0901BC,2016-01-27,0,94,,14,0,39
KE0901BC,2016-01-28,0,94,,19,1,48
KE0901BC,2016-01-29,0,94,,11,1,35
KE0901BC,2016-01-30,0,94,,22,3,43
KE0901BC,2016-01-31,0,94,,18,2,39
KE0901BC,2016-02-01,0,94,,20,0,29
KE0901BC,2016-02-02,0,94,,6,0,27
KE0901BC,2016-02-03,0,94,,16,2,77
KE0901BC,2016-02-04,0,94,,50,1,75
KE0901BC,2016-02-05,0,94,,58,0,90
KE0901BC,2016-02-06,0,94,,21,4,65
KE0901BC,2016-02-07,0,94,,31,0,49
KE0901BC,2016-02-08,1,94,,13,2,33
KE0901BC,2016-02-09,0,94,,26,0,44
KE0901BC,2016-02-10,0,94,,15,0,39
KE0901BC,2016-02-11,0,94,,22,0,41
KE0901BC,2016-02-12,0,94,,16,0,31
KE0901BC,2016-02-13,0,94,,33,0,55
KE0901BC,2016-02-14,0,106,,47,2,105
KE0901BC,2016-02-15,0,94,,22,2,40
KE0901BC,2016-02-16,0,94,,15,0,32
KE0901BC,2016-02-17,0,94,,32,1,54
KE0901BC,2016-02-18,0,94,,27,0,42
KE0901BC,2016-02-19,0,94,,39,0,66
KE0901BC,2016-02-20,0,94,,54,0,81
KE0901BC,2016-02-21,0,94,,57,1,77
KE0901BC,2016-02-22,0,56,,20,1,38
KE0901BC,2016-02-23,0,94,,28,0,49
KE0901BC,2016-02-24,0,94,,33,0,57
KE0901BC,2016-02-25,0,94,,14,0,27
KE0901BC,2016-02-26,0,94,,21,0,54
KE0901BC,2016-02-27,0,94,,19,1,42
KE0901BC,2016-02-28,0,94,,28,2,48
KE0901BC,2016-02-29,0,94,,27,1,47
KE0901BC,2016-03-01,0,94,,20,0,40
KE0901BC,2016-03-02,0,94,,25,0,46
KE0901BC,2016-03-03,0,94,,26,0,52
KE0901BC,2016-03-04,0,94,,18,0,48
KE0901BC,2016-03-05,0,94,,27,0,50
KE0901BC,2016-03-06,0,94,,28,1,84
KE0901BC,2016-03-07,0,94,,38,2,72
KE0901BC,2016-03-08,0,94,,56,0,69
KE0901BC,2016-03-09,0,94,,21,2,48
KE0901BC,2016-03-10,0,94,,15,0,43
KE0901BC,2016-03-11,0,94,,34,1,64
KE0901BC,2016-03-12,0,94,,29,1,69
KE0901BC,2016-03-13,0,94,,67,0,94
KE0901BC,2016-03-14,0,94,,33,1,52
KE0901BC,2016-03-15,0,94,,55,0,90
KE0901BC,2016-03-16,0,94,,21,0,55
KE0901BC,2016-03-17,0,94,,24,0,54
KE0901BC,2016-03-18,0,94,,27,0,60
KE0901BC,2016-03-19,0,94,,29,0,59
KE0901BC,2016-03-20,0,94,,60,4,90
KE0901BC,2016-03-21,0,94,,22,0,40
KE0901BC,2016-03-22,0,94,,13,0,16
KE0901BC,2016-03-23,0,94,,14,0,27
KE0901BC,2016-03-24,0,94,,13,3,34
KE0901BC,2016-03-25,0,94,,48,0,83
KE0901BC,2016-03-26,0,94,,12,0,41
KE0901BC,2016-03-27,0,94,,33,1,57
KE0901BC,2016-03-28,0,94,,31,0,57
KE0901BC,2016-03-29,0,94,,7,0,48
KE0901BC,2016-03-30,0,94,,19,0,60
KE0901BC,2016-03-31,0,94,,31,1,64
KE0901BC,2016-04-01,0,94,,24,0,60
KE0901BC,2016-04-02,0,94,,26,3,53
KE0901BC,2016-04-03,0,94,,23,3,66
KE0901BC,2016-04-04,0,94,,29,0,45
KE0901BC,2016-04-05,0,94,,15,0,30
KE0901BC,2016-04-06,0,94,,28,0,46
KE0901BC,2016-04-07,0,94,,21,2,49
KE0901BC,2016-04-08,0,94,,31,0,67
KE0901BC,2016-04-09,0,94,,29,1,60
KE0901BC,2016-04-10,0,94,,38,0,78
KE0901BC,2016-04-11,0,94,,22,0,57
KE0901BC,2016-04-12,0,94,,15,0,75
KE0901BC,2016-04-13,0,94,,29,1,54
KE0901BC,2016-04-14,0,94,,15,2,28
KE0901BC,2016-04-15,0,94,,17,0,48
KE0901BC,2016-04-16,0,94,,25,1,49
KE0901BC,2016-04-17,0,94,,31,3,87
KE0901BC,2016-04-18,0,94,,25,1,48
KE0901BC,2016-04-19,0,94,,13,1,43
KE0901BC,2016-04-20,0,94,,36,0,60
KE0901BC,2016-04-21,0,94,,22,0,53
KE0901BC,2016-04-22,0,94,,27,3,62
KE0901BC,2016-04-23,0,94,,27,1,58
KE0901BC,2016-04-24,0,94,,40,1,94
KE0901BC,2016-04-25,0,94,,30,3,70
KE0901BC,2016-04-26,0,94,,18,0,44
KE0901BC,2016-04-27,0,94,,45,0,80
KE0901BC,2016-04-28,0,94,,32,2,82
KE0901BC,2016-04-29,0,94,,42,0,78
KE0901BC,2016-04-30,0,94,,47,7,75
KE0901BC,2016-05-01,0,94,,34,1,78
KE0901BC,2016-05-02,0,94,,25,1,50
KE0901BC,2016-05-03,0,94,,19,1,33
KE0901BC,2016-05-04,0,94,,30,1,47
KE0901BC,2016-05-05,0,94,,17,1,58
KE0901BC,2016-05-06,0,94,,14,3,32
KE0901BC,2016-05-07,0,94,,26,2,38
KE0901BC,2016-05-08,0,94,,37,1,73
KE0901BC,2016-05-09,0,94,,48,0,78
KE0901BC,2016-05-10,0,94,,42,0,82
KE0901BC,2016-05-11,0,94,,23,1,59
KE0901BC,2016-05-12,0,94,,29,0,63
KE0901BC,2016-05-13,0,94,,38,2,73
KE0901BC,2016-05-14,0,94,,15,0,49
KE0901BC,2016-05-15,0,94,,34,0,61
KE0901BC,2016-05-16,0,94,,40,0,88
KE0901BC,2016-05-17,0,94,,32,2,49
KE0901BC,2016-05-18,0,94,,17,1,42
KE0901BC,2016-05-19,0,94,,28,1,46
KE0901BC,2016-05-20,0,94,,33,2,53
KE0901BC,2016-05-21,0,94,,50,2,82
KE0901BC,2016-05-22,0,94,,33,0,70
KE0901BC,2016-05-23,0,94,,44,0,83
KE0901BC,2016-05-24,0,94,,29,2,37
KE0901BC,2016-05-25,0,94,,24,0,52
KE0901BC,2016-05-26,0,94,,23,2,58
KE0901BC,2016-05-27,0,94,,61,1,88
KE0901BC,2016-05-28,0,94,,41,1,78
KE0901BC,2016-05-29,0,94,,47,3,90
KE0901BC,2016-05-30,0,94,,47,2,93
KE0901BC,2016-05-31,0,94,,58,1,93
KE0901BC,2016-06-01,0,94,,56,0,94
KE0901BC,2016-06-02,0,94,,46,2,84
KE0901BC,2016-06-03,0,94,,46,2,76
KE0901BC,2016-06-04,0,94,,50,0,84
KE0901BC,2016-06-05,0,94,,37,0,73
KE0901BC,2016-06-06,0,94,,19,0,45
KE0901BC,2016-06-07,0,94,,26,0,79
KE0901BC,2016-06-08,0,94,,24,0,53
KE0901BC,2016-06-09,0,94,,19,0,48
KE0901BC,2016-06-10,0,94,,28,0,53
KE0901BC,2016-06-11,0,94,,27,1,62
KE0901BC,2016-06-12,0,94,,59,0,94
KE0901BC,2016-06-13,0,94,,38,0,94
KE0901BC,2016-06-14,0,94,,34,0,58
KE0901BC,2016-06-15,0,94,,22,0,64
KE0901BC,2016-06-16,0,94,,25,1,58
KE0901BC,2016-06-17,0,94,,60,4,86
KE0901BC,2016-06-18,0,94,,32,2,67
KE0901BC,2016-06-19,0,94,,40,1,94
KE0901BC,2016-06-20,0,94,,38,3,80
KE0901BC,2016-06-21,0,94,,25,0,94
KE0901BC,2016-06-22,0,94,,23,0,72
KE0901BC,2016-06-23,0,94,,50,1,84
KE0901BC,2016-06-24,0,94,,55,7,80
KE0901BC,2016-06-25,0,94,,52,1,93
